(Number of Clickable Elements - Middle),Number of General  Elements,(Number of Clickable Elements - Bottom),(Number of Clickable Elements - Top),(Number of vertical swipeable Elements - Middle),is the activity contain a navigation drawer,(Number of Text Fields Elements - Middle),(Number of horizontal swipeable Elements - Middle),(Number of Text Fields Elements - Bottom),(Number of Text Fields Elements - Top),keywords
1,8,0,7,0,0,0,0,0,0,map location navigation directions search 
1,8,0,7,0,0,0,0,0,0,map location navigation directions search 
3,6,0,2,0,0,0,0,0,0,map navigation search 
4,8,0,4,0,1,0,0,0,0,map location navigation search route 
0,0,0,0,0,0,0,0,0,0,map location navigation 
6,15,5,4,0,0,0,0,0,0,map location navigation traffic 
2,11,6,3,0,0,0,0,0,0,map location navigation traffic 
2,3,0,0,0,0,0,0,0,1,map location search route traffic 
3,6,0,3,0,0,0,0,0,0,map location GPS navigation route 
0,2,0,1,0,0,0,0,0,1,map location navigation directions search satellite 
3,8,2,3,0,1,0,0,0,0,map location navigation search 
3,7,0,4,0,1,0,0,0,0,map location navigation search 
3,11,2,6,0,0,0,0,0,0,map navigation search route 
0,1,0,1,0,0,0,0,0,0,map 
1,3,0,2,0,0,0,0,0,0,map location GPS navigation 
0,1,0,1,0,0,0,0,0,0,map search 
0,2,0,2,0,0,0,0,0,0,map location navigation 
0,3,1,2,0,0,0,0,0,0,map route 
0,5,1,4,0,0,0,0,0,0,map location search 
1,6,0,5,0,1,0,0,0,0,map location navigation search 
1,5,0,3,0,0,0,0,0,1,map navigation 
0,4,0,3,0,0,0,0,0,1,map navigation 
1,6,1,4,0,0,0,0,0,0,map location navigation search 
0,6,1,5,0,0,0,0,0,0,map location navigation search 
0,2,0,2,0,0,0,0,0,0,map navigation search 
2,6,0,4,0,0,0,0,0,0,map navigation search 
4,7,0,3,0,0,0,0,0,0,map location GPS navigation route 
6,13,0,7,0,0,0,0,0,0,map location GPS navigation route 
6,13,0,7,0,0,0,0,0,0,map location navigation route 
6,13,0,7,0,1,0,0,0,0,map location GPS navigation route 
5,10,3,1,0,0,0,0,0,1,navigation search 
7,13,2,1,0,0,2,0,0,1,navigation search 
5,10,3,1,0,0,0,0,0,1,navigation search 
0,4,2,2,0,0,0,0,0,0,map 
2,6,2,1,0,0,1,0,0,0,map location search 
8,13,0,5,0,1,0,0,0,0,map navigation search 
1,10,4,5,0,1,0,0,0,0,map location navigation directions search route 
1,8,4,3,0,1,0,0,0,0,map location navigation directions search route 
1,11,2,8,0,0,0,0,0,0,map navigation search route 
0,6,2,4,0,0,0,0,0,0,map navigation route 
0,5,1,4,0,0,0,0,0,0,map location 
5,9,0,3,0,0,0,0,0,1,map navigation search 
0,0,0,0,0,0,0,0,0,0,map route 
0,8,1,7,0,1,0,0,0,0,map location search satellite 
0,8,1,7,0,1,0,0,0,0,map location search satellite 
0,7,1,6,0,1,0,0,0,0,map location search satellite 
0,7,1,6,0,1,0,0,0,0,map location search satellite 
0,2,1,1,0,1,0,0,0,0,map location navigation satellite 
0,4,0,3,0,0,0,0,0,1,map location navigation search 
0,4,0,4,0,0,0,0,0,0,map location navigation search 
0,3,0,3,0,0,0,0,0,0,map navigation 
2,7,1,4,0,0,0,0,0,0,map navigation 
0,1,0,0,0,0,0,0,0,1,map navigation search 
18,33,0,13,2,0,0,0,0,0,
0,5,5,0,0,0,0,0,0,0,map search 
1,3,0,2,0,1,0,0,0,0,map location navigation 
6,16,6,4,0,0,0,0,0,0,map location navigation 
0,6,2,4,0,0,0,0,0,0,map route 
0,2,0,1,0,0,0,0,0,1,map location navigation search 
4,12,1,7,0,1,0,0,0,0,map location navigation search 
1,3,1,1,0,0,0,0,0,0,map location navigation 
2,6,0,3,0,1,0,0,0,1,map location navigation search 
1,5,0,4,0,1,0,0,0,0,map location navigation search 
8,12,0,4,0,1,0,0,0,0,map location GPS navigation 
1,3,0,1,0,0,0,0,0,1,map location navigation search 
0,2,0,1,0,0,0,0,0,1,map location navigation search 
0,2,0,1,0,0,0,0,0,1,map location navigation search 
0,24,0,5,18,0,0,0,0,0,Home list Settings Help feedback 
1,23,5,5,12,0,0,0,0,0,Home list Settings Help feedback share 
6,28,1,5,11,0,0,1,0,0,Home list search 
10,18,1,3,1,0,0,1,0,0,Home list search 
7,20,2,2,8,0,0,0,0,0,Home list Settings Help logout feedback share 
4,17,1,2,9,0,0,0,0,0,list Settings search 
5,17,0,3,9,0,0,0,0,0,list Settings Help About notifications 
73,85,1,1,10,0,0,0,0,0,Settings 
0,19,1,5,13,0,0,0,0,0,Home list Settings Help feedback share 
11,18,1,3,2,0,0,0,0,0,list Settings search 
4,17,1,3,8,0,0,0,0,0,list Settings search 
0,12,0,4,8,0,0,0,0,0,Home list Profile Settings messages search 
0,23,0,3,17,0,0,0,0,0,Home list Profile Settings search 
1,23,1,1,17,0,0,0,0,0,Home list Profile Settings search 
0,11,0,3,8,0,0,0,0,0,Home list Profile Settings search 
0,11,0,3,8,0,0,0,0,0,Home list Profile Settings Contact search 
5,17,0,3,5,0,2,0,0,0,list chat feedback share 
7,31,1,1,17,2,0,0,0,0,Home list Settings Help About search 
2,14,0,0,8,0,0,0,0,0,Home list Settings Help About search 
0,11,0,1,6,1,0,0,0,0,Home list Settings 
10,13,1,2,0,0,0,0,0,0,list Settings categories 
1,20,0,4,13,1,0,0,0,0,Home list messages categories checkout 
9,12,0,3,0,0,0,0,0,0,list Profile Settings Help Contact search 
7,21,0,4,9,0,0,0,0,0,Home list Settings About notifications feedback share 
7,22,0,4,10,0,0,0,0,0,Home list About feedback 
10,20,1,3,5,0,0,0,0,0,Home list Profile Settings Help messages share 
20,24,2,2,0,0,0,0,0,0,Home 
12,25,1,3,7,0,0,0,0,0,Home list Settings search 
2,15,0,2,9,0,0,0,0,0,list notifications search feedback 
18,22,1,3,0,0,0,0,0,0,Home list About notifications messages share 
1,5,0,3,0,0,0,0,0,0,Profile Settings search 
4,11,1,6,0,0,0,0,0,0,list Profile Settings search categories share 
2,4,0,2,0,0,0,0,0,0,Profile Settings search 
12,18,1,5,0,0,0,0,0,0,Home list messages 
11,14,1,2,0,0,0,0,0,0,Home list Settings messages 
11,15,0,4,0,0,0,0,0,0,Home list Settings messages 
12,16,0,4,0,0,0,0,0,0,Home list Settings messages 
11,13,0,2,0,0,0,0,0,0,Home Settings messages 
12,14,0,2,0,0,0,0,0,0,Home list Settings messages 
10,13,1,2,0,0,0,0,0,0,Home list Settings messages 
13,22,0,3,6,0,0,0,0,0,Home list Settings messages feedback 
11,14,0,2,0,0,1,0,0,0,Home list Settings messages search 
12,22,1,3,6,0,0,0,0,0,Home list messages feedback 
12,15,0,3,0,0,0,0,0,0,Home Settings messages 
11,13,0,2,0,0,0,0,0,0,Home Settings notifications messages 
11,16,1,4,0,0,0,0,0,0,Home list messages 
17,19,0,2,0,0,0,0,0,0,Home Settings Help Contact messages feedback 
1,17,0,3,10,0,0,0,0,0,Home list Settings About feedback share 
1,2,0,1,0,0,0,0,0,0,Home Profile Settings Help About search 
0,12,0,1,10,0,0,0,0,0,Home list Settings Help About search 
0,15,0,4,10,0,0,0,0,0,Home list Settings Help About search 
5,7,0,2,0,0,0,0,0,0,Settings Help Contact About notifications chat feedback 
7,11,0,2,0,0,2,0,0,0,Home Settings Help Contact About notifications 
5,8,0,2,0,0,1,0,0,0,Settings Help Contact About notifications discounts 
10,15,0,3,2,0,0,0,0,0,Home list Profile Help logout messages search 
9,12,0,1,1,0,0,0,0,0,Home list Profile Help Contact logout messages search 
10,14,0,3,1,0,0,0,0,0,Home list Profile Help About logout messages search 
18,19,0,1,0,0,0,0,0,0,Home list Profile Help logout messages search 
10,11,0,1,0,0,0,0,0,0,Home Profile Help logout messages search share 
10,15,0,4,0,0,1,0,0,0,Home list Profile Settings Help Contact logout messages search payment 
9,13,1,3,0,0,0,0,0,0,Profile About logout search 
9,30,1,3,13,0,0,0,0,0,list 
5,14,1,2,5,0,0,0,0,0,list Settings search feedback 
5,15,1,2,5,0,0,0,0,0,list Settings search feedback 
4,10,1,4,1,0,0,0,0,0,list feedback share 
17,23,0,5,1,0,0,0,0,0,list Profile About logout search share 
9,14,0,3,2,0,0,0,0,0,list Profile logout search share 
14,23,0,3,0,0,5,0,0,1,Home Profile notifications search cart shipping payment feedback 
4,9,0,4,0,0,0,0,0,1,list Help search payment 
6,12,0,2,0,0,4,0,0,0,Help payment 
3,5,0,2,0,0,0,0,0,0,Help payment 
7,10,0,3,0,0,0,0,0,0,Help Contact payment 
7,25,1,3,12,0,0,0,0,2,Settings search share 
10,16,0,6,0,0,0,0,0,0,Home list Profile notifications search cart shipping payment feedback 
8,15,2,5,0,0,0,0,0,0,Home list Contact About messages search feedback 
0,22,1,2,14,0,0,0,0,0,list Settings Help search share 
1,22,1,3,12,0,0,0,0,1,list Settings Help search share 
6,10,0,3,0,0,0,1,0,0,Settings About search 
6,9,0,3,0,0,0,0,0,0,Settings About search 
12,21,2,4,0,0,3,0,0,0,Settings feedback 
4,19,2,2,9,0,0,0,0,0,Home list Settings search categories 
6,8,0,2,0,0,0,0,0,0,Home 
10,19,3,6,0,0,0,0,0,0,Home list search 
15,21,2,3,0,0,0,0,0,1,Home list search 
11,17,2,4,0,0,0,0,0,0,Home list search 
4,22,2,1,11,0,0,0,0,0,Home list Settings Contact logout payment 
4,22,2,1,11,0,0,0,0,0,Home list Settings Contact logout payment 
0,15,1,2,10,0,0,0,0,0,Home list About share 
0,21,1,2,15,0,0,0,0,0,Home list About share 
0,17,1,2,12,1,0,1,0,0,list feedback 
0,23,1,2,19,1,0,0,0,0,list feedback 
0,16,1,2,12,1,0,0,0,0,list feedback 
0,2,0,2,0,0,0,0,0,0,list About feedback 
9,10,0,1,0,0,0,0,0,0,Home About search feedback 
10,12,0,2,0,0,0,0,0,0,Home list About search cart shipping feedback 
2,20,1,5,9,0,0,0,0,0,list search 
1,12,1,2,7,0,0,0,0,0,list Settings Contact About logout 
10,15,1,4,0,1,0,0,0,0,list Settings share 
7,22,1,3,8,1,0,0,0,1,Home list search feedback 
15,32,0,1,12,0,0,0,0,0,Home list Settings notifications feedback 
3,6,0,2,1,0,0,0,0,0,list Profile Settings Contact search share 
14,22,2,3,0,0,3,0,0,0,
3,7,1,2,0,0,0,0,0,1,Help 
6,27,1,4,11,0,0,1,0,0,Home list search 
15,21,4,2,0,0,0,0,0,0,Home list Settings notifications feedback 
24,47,3,7,4,0,0,0,0,0,Home list logout 
0,7,0,0,6,0,0,0,0,0,Home list Settings About search 
0,8,0,0,6,0,0,0,0,0,Home list Settings About search 
0,8,0,0,6,0,0,0,0,0,Home list Settings About search 
8,24,0,4,9,0,0,0,0,0,list Settings Help search categories 
18,38,1,5,11,0,0,0,0,1,list Settings Help search categories 
15,36,1,6,10,0,2,0,0,1,list Settings Help logout search categories 
15,37,4,1,12,0,0,0,0,0,Home list Settings notifications feedback 
8,11,1,2,0,0,0,0,0,0,Settings feedback share 
6,10,0,2,1,0,0,0,0,0,list Settings feedback share 
6,8,0,2,0,0,0,0,0,0,list Settings feedback share 
0,4,1,3,0,0,0,0,0,0,Home categories share 
13,23,2,2,0,0,6,0,0,0,
10,15,1,4,0,0,0,0,0,0,Home list About search cart checkout shipping 
8,12,1,2,1,1,0,0,0,0,list About notifications search categories payment 
10,14,2,2,0,0,0,0,0,0,list About notifications search categories feedback 
10,15,2,3,0,0,0,0,0,0,list About notifications search categories feedback 
7,13,1,4,1,0,0,0,0,0,list About notifications search feedback 
7,13,2,2,2,1,0,0,0,0,list About notifications search categories 
10,15,2,3,0,0,0,0,0,0,list About notifications search categories feedback 
0,10,0,2,5,0,0,0,0,0,Home list Contact notifications search coupons cart 
9,19,2,3,2,0,1,0,0,0,Home list Contact notifications search coupons cart 
1,7,3,3,0,0,0,0,0,0,Home list Contact notifications search coupons cart 
20,37,8,8,0,0,0,1,0,0,Home list Settings About search categories cart share 
0,7,3,0,3,0,0,0,0,0,Home list Contact notifications coupons cart shipping payment feedback 
0,8,3,1,3,0,0,0,0,0,Home list Contact notifications coupons cart shipping payment feedback 
5,10,0,3,1,0,1,0,0,0,Home list Contact notifications search coupons cart 
0,2,0,2,0,0,0,0,0,0,Home list Contact notifications search coupons cart 
0,7,0,2,0,0,5,0,0,0,Home list Settings Contact notifications messages search coupons cart 
14,24,2,5,3,0,0,0,0,0,Home list Settings Contact About search categories share 
12,24,1,6,0,0,5,0,0,0,Home Settings About notifications search categories share 
15,26,3,4,3,0,0,0,0,0,Home list Profile Settings Help search feedback 
14,25,3,4,3,0,0,0,0,0,Home list Profile Settings Help search feedback 
10,21,3,5,2,0,0,0,0,0,Home list Profile Settings Help search categories feedback 
7,11,1,2,0,0,0,1,0,0,Settings logout 
10,20,2,8,0,0,0,0,0,0,Home list Settings About search categories share 
15,20,2,3,0,0,0,0,0,0,
2,15,0,1,8,0,0,0,0,0,list Profile Contact logout payment 
11,18,2,2,0,0,3,0,0,0,
2,6,0,3,1,0,0,0,0,0,list Settings search categories feedback 
4,11,1,5,0,0,0,0,0,0,list Settings search categories feedback 
5,17,0,5,7,0,0,0,0,0,list Profile Settings search feedback share 
1,10,1,3,4,0,0,0,0,1,list Settings logout search 
7,15,0,7,0,0,0,0,0,0,list Settings Help search feedback 
8,13,0,5,0,0,0,0,0,0,Settings Help feedback share 
10,14,1,3,0,0,0,0,0,0,list Profile Settings feedback 
9,12,1,2,0,0,0,0,0,0,Profile Settings feedback 
9,13,1,3,0,0,0,0,0,0,Profile Settings feedback 
12,18,1,3,0,0,2,0,0,0,Profile Settings feedback 
16,18,1,1,0,0,0,0,0,0,Profile Settings feedback 
15,23,2,3,0,0,3,0,0,0,
0,5,0,5,0,0,0,0,0,0,Settings Help share 
0,2,0,1,0,0,1,0,0,0,Home list Profile Settings Help Contact About logout notifications 
21,30,1,6,2,0,0,0,0,0,Home list Profile Help notifications chat search categories payment feedback 
9,20,1,8,1,0,0,0,0,0,Home list Profile notifications chat search categories 
21,29,1,5,2,0,0,0,0,0,Home list Profile Help notifications chat search categories payment feedback 
23,30,1,6,0,0,0,0,0,0,Home list Profile Help notifications chat search categories payment feedback 
18,32,5,6,3,0,0,0,0,0,Home list Profile Help notifications chat search categories payment feedback 
17,21,1,3,0,0,0,0,0,0,Home list Settings Help logout chat search 
17,21,1,3,0,0,0,0,0,0,Home list Settings Help logout search 
13,15,0,2,0,0,0,0,0,0,Home list Settings logout notifications 
3,19,1,2,10,0,0,0,0,0,Home list Profile Settings Help Contact About notifications share 
3,17,1,2,9,0,0,0,0,0,Home list Profile Settings Help Contact notifications share 
3,19,1,2,10,0,0,0,0,0,Home list Profile Settings Help Contact notifications share 
3,18,1,2,9,0,0,0,0,0,Home list Profile Settings Help Contact notifications share 
2,18,1,4,9,0,0,0,0,0,Home list Profile Settings Help Contact notifications share 
2,21,2,2,10,0,1,0,1,0,Home list Profile Settings Help Contact notifications share 
1,4,0,3,0,1,0,0,0,0,Home list Profile Settings Help Contact notifications share 
6,6,0,0,0,0,0,0,0,0,Home list search share 
6,6,0,0,0,0,0,0,0,0,Home list search share 
0,7,0,0,6,0,0,0,0,0,Home list Settings About search feedback share 
0,6,0,0,4,0,0,0,0,0,Home list Settings About search feedback 
0,20,0,3,15,0,0,0,0,0,Home list About search 
0,32,0,5,25,0,0,0,0,0,Home list About notifications messages search 
0,25,0,5,18,0,0,0,0,0,Home list About notifications messages search 
6,27,1,6,12,0,0,0,0,0,list search share 
0,19,1,5,11,0,0,0,0,0,list Settings search checkout 
0,16,0,5,9,0,0,0,0,0,list Settings search checkout 
7,15,0,2,5,0,0,0,0,0,list chat feedback 
10,13,0,3,0,1,0,0,0,0,Home search share 
10,14,1,2,0,0,0,0,0,1,list Profile Help Contact logout search 
23,33,2,6,0,0,0,0,0,0,Home Settings About search 
14,23,1,5,0,0,0,0,0,0,Home Settings search share 
6,20,1,4,9,0,0,0,0,0,Profile Help Contact search 
7,10,1,2,0,0,0,0,0,0,Profile Help Contact logout search 
7,10,1,2,0,0,0,0,0,0,Profile Help Contact logout search 
7,8,0,1,0,0,0,0,0,0,Home Settings Help 
2,4,0,2,0,0,0,0,0,0,Home Settings Help 
9,17,1,5,0,0,0,0,0,1,list Profile Help Contact search share 
9,26,1,3,12,0,0,0,0,1,list Profile Help Contact search 
3,12,2,2,5,0,0,0,0,0,Settings Help feedback 
13,14,0,1,0,0,0,0,0,0,Home list Help Contact About notifications messages 
7,13,1,4,1,0,0,0,0,0,Home Settings Help feedback 
2,7,1,3,0,0,1,0,0,0,Settings Help notifications feedback 
14,16,0,1,0,0,0,1,0,0,list Settings Contact About share 
9,10,0,1,0,0,0,0,0,0,Settings Contact About share 
11,12,0,1,0,0,0,0,0,0,Settings Help Contact About share 
15,18,1,2,0,0,0,0,0,0,list Settings Contact About notifications share 
0,8,0,0,6,0,0,0,0,0,list Settings About feedback 
7,15,1,3,2,0,0,0,0,0,Settings Help feedback 
1,15,0,3,9,0,0,0,0,0,list Profile Settings Help 
0,8,0,0,6,0,0,0,0,0,list Settings share 
6,12,1,1,2,0,0,0,0,0,Home Settings Help feedback 
3,7,2,1,1,0,0,0,0,0,Home list Profile Settings Help notifications feedback share 
8,25,5,4,6,0,0,0,0,0,list Settings Help About search share 
10,16,1,5,0,0,0,0,0,0,search cart 
7,21,1,3,8,0,0,0,0,0,list Profile search cart feedback 
0,24,1,5,14,0,0,0,0,0,list search 
6,17,0,3,4,0,2,0,0,1,Home list share 
0,15,0,7,7,0,0,0,0,0,list Settings About notifications feedback 
18,28,2,8,0,0,0,0,0,0,list Profile Settings Contact chat search checkout 
0,17,4,2,11,0,0,0,0,0,Home list Settings Help feedback 
11,15,3,1,0,0,0,0,0,0,list Settings Contact share 
9,16,0,2,5,0,0,0,0,0,Home list Settings About notifications share 
10,12,0,2,0,0,0,0,0,0,Home Settings Help About share 
9,11,0,2,0,0,0,0,0,0,Home Settings Help About share 
9,11,0,2,0,0,0,0,0,0,Home Settings About share 
9,11,0,2,0,0,0,0,0,0,Home Settings Help About share 
9,11,0,2,0,0,0,0,0,0,Home Settings Help About share 
0,7,0,4,1,0,0,0,0,0,Home list Settings Help About logout 
9,15,3,3,0,0,0,0,0,0,Home Help Contact notifications sales cart 
5,8,0,3,0,1,0,0,0,0,list About search 
1,18,1,2,12,1,0,0,0,0,Home list 
1,18,1,2,12,1,0,0,0,0,Home list 
1,22,1,2,14,1,0,0,0,0,Home list 
0,23,1,4,13,0,0,0,0,0,list search 
15,18,0,3,0,0,0,0,0,0,Home list Settings Help cart 
5,9,0,2,0,0,2,0,0,0,Home list Profile Settings messages search 
2,17,0,3,9,0,2,0,0,0,list Profile About search payment 
12,35,0,7,12,0,0,0,0,0,Settings share 
12,35,0,7,12,0,0,0,0,0,Settings share 
12,34,0,6,11,0,0,0,0,0,Settings share 
13,37,0,7,12,0,0,0,0,0,Settings share 
0,12,0,5,5,0,0,0,0,0,list Settings About search 
3,8,1,4,0,0,0,0,0,0,list Settings search categories feedback 
4,11,1,4,1,0,0,0,0,0,list Settings search categories feedback 
0,16,0,1,11,0,0,0,0,0,list 
0,19,1,4,11,0,0,0,0,0,list search 
9,13,0,4,0,1,0,0,0,0,list Settings share 
15,19,0,3,0,1,0,0,0,0,list Settings notifications 
12,18,1,3,0,1,2,0,0,0,list Settings Help logout 
0,4,0,3,0,0,0,0,0,1,Home list Settings Help Contact About messages search sales payment feedback 
0,4,1,3,0,0,0,0,0,0,Home list messages share 
1,7,1,5,0,0,0,0,0,0,Home list Help messages share 
4,12,1,6,0,0,1,0,0,0,Home list Help messages share 
2,10,0,8,0,0,0,0,0,0,Home list Help messages share 
3,11,0,6,1,0,0,0,0,0,Home list messages share 
2,14,0,4,8,0,0,0,0,0,list Profile Settings Help notifications search feedback share 
1,11,0,2,8,0,0,0,0,0,list Profile Settings Help notifications messages search feedback 
11,12,0,1,0,0,0,0,0,0,Home Settings About 
13,22,0,3,4,0,0,0,0,0,Home list Settings About search 
0,14,1,4,9,0,0,0,0,0,Home list Profile Settings messages search 
1,24,1,1,18,0,0,0,0,0,Home list Profile Settings search 
9,22,0,3,9,0,0,0,0,0,list Settings Help logout search payment 
12,23,0,1,9,0,0,0,0,0,list Settings Help logout checkout shipping payment 
9,20,0,1,9,0,0,0,0,0,list Settings Help logout payment 
5,8,0,1,1,0,0,0,0,0,list Profile Settings logout notifications messages payment 
9,25,3,6,5,1,0,0,0,0,Home list Settings Help search feedback 
3,25,2,6,9,0,0,0,0,0,Home list Settings About logout notifications chat search checkout share 
3,25,2,6,9,0,0,0,0,0,Home list Settings About logout notifications chat search checkout share 
14,18,2,2,0,0,0,0,0,0,list About notifications search categories 
12,18,2,3,1,0,0,0,0,0,list About notifications search categories feedback 
0,22,0,4,17,0,0,0,0,0,Home list Settings Help feedback 
0,26,0,4,22,0,0,0,0,0,Home list Settings Help feedback 
0,19,0,5,14,0,0,0,0,0,Home list Settings Help feedback 
5,11,1,4,1,0,0,0,0,0,list feedback share 
10,16,4,2,0,0,0,0,0,0,Home list Profile Settings Help Contact logout notifications search 
20,35,4,5,5,0,0,0,0,1,Home list Profile Settings Help Contact logout notifications search 
5,28,0,5,15,0,0,0,0,0,Home list Help chat search share 
0,23,0,5,14,0,0,0,0,0,list Help search 
0,24,1,5,14,0,0,0,0,0,Home list search 
4,11,1,3,2,0,0,0,0,0,Home list Help Contact messages search share 
10,31,0,3,14,0,0,0,0,0,Home list Settings Help search categories feedback share 
11,30,1,3,12,0,0,0,0,0,Home list Settings Help search categories feedback share 
7,25,1,3,11,0,0,0,0,0,Home list Settings Help search categories feedback share 
2,7,4,1,0,0,0,0,0,0,list search feedback 
1,6,1,2,2,0,0,0,0,0,list Settings Help chat search feedback 
0,12,0,2,8,0,0,0,0,0,Home list Profile Settings About messages search 
1,15,0,3,9,0,0,0,0,0,Home list Profile Settings About messages search 
2,14,0,2,8,0,0,0,0,0,Home list Profile Settings About messages search 
1,12,0,1,8,0,0,0,0,0,Home list Profile Settings About messages search 
6,23,0,4,9,0,0,0,0,1,Home list Profile Settings messages search categories shipping 
5,22,0,2,11,0,0,0,0,1,Home list Profile Settings About messages search categories 
7,22,1,1,9,0,0,0,0,1,Home list Profile Settings About messages search categories 
4,16,0,0,9,0,1,0,0,0,Home list Profile Settings About messages search categories 
13,19,2,2,1,0,0,0,0,0,Profile search 
6,21,4,4,7,0,0,0,0,0,Home list Settings Help About search feedback share 
11,20,1,4,2,0,0,0,0,0,list Profile notifications search share 
6,15,0,7,2,0,0,0,0,0,Home list Profile Settings Contact messages share 
7,13,3,2,0,0,0,0,0,0,Home list Profile notifications search share 
11,33,2,5,13,0,0,0,0,0,list Profile Settings notifications search share 
11,20,2,2,2,0,0,0,0,0,list Profile notifications search share 
4,9,0,5,0,0,0,0,0,0,Home list Profile Settings Contact messages 
11,27,5,5,5,0,0,0,0,0,list Profile Settings notifications search share 
6,13,0,6,0,0,0,1,0,0,Home list Profile Settings Contact messages share 
1,9,0,1,6,0,0,0,0,0,Home list search coupons checkout 
0,12,0,1,8,0,0,0,0,0,Home list search coupons 
0,8,0,1,5,0,0,0,0,1,Home list search coupons 
0,7,0,1,5,0,0,0,0,0,Home list search coupons 
0,7,0,1,5,0,0,0,0,0,Home list search coupons 
5,13,1,1,5,0,0,0,0,0,Home list search coupons 
3,8,1,4,0,0,0,0,0,0,Home list search share 
0,4,0,4,0,0,0,0,0,0,Home list search share 
3,6,1,1,0,0,0,0,0,1,Settings Contact About search 
11,17,3,3,0,0,0,0,0,0,list Profile Contact search 
11,19,1,1,4,0,0,0,0,1,Home list Profile Settings Help logout messages search feedback 
0,17,1,8,7,0,0,0,0,0,list Settings Contact logout messages search 
3,8,3,1,0,0,0,0,0,0,list Settings Contact feedback share 
5,11,3,1,0,0,1,0,0,0,list Settings Contact search feedback share 
9,16,2,4,1,0,0,0,0,0,list Settings About 
11,23,0,5,4,0,3,0,0,0,list Settings cart 
8,14,0,5,0,1,1,0,0,0,list Settings cart 
0,22,0,4,14,0,0,0,0,0,Home list messages categories cart checkout shipping 
0,22,0,4,14,0,0,0,0,0,Home list messages categories cart checkout shipping 
1,22,0,5,13,0,0,0,0,0,Home list messages categories cart checkout shipping 
1,22,0,6,12,0,0,0,0,0,Home list messages categories cart checkout shipping 
0,12,1,6,4,1,0,0,0,0,Home list Settings search categories share 
0,11,1,5,4,1,0,0,0,0,Home list Settings search categories share 
0,15,1,5,7,1,0,0,0,0,Home list Settings search categories 
7,11,0,4,0,0,0,0,0,0,list search cart 
11,21,3,6,0,0,1,0,0,0,Home list Settings Help search feedback 
7,12,0,5,0,0,0,0,0,0,list Settings Help search feedback 
11,18,0,7,0,0,0,0,0,0,list Settings Help search cart feedback 
8,13,0,5,0,0,0,0,0,0,list Settings Help search feedback 
6,18,0,3,9,0,0,0,0,0,Home list Profile Settings About shipping 
0,4,0,4,0,0,0,0,0,0,Home list Profile Settings About feedback share 
11,13,1,1,0,0,0,0,0,0,Home list Profile Settings Help logout messages search feedback 
17,27,2,6,0,0,0,0,0,0,Home list Settings search 
11,30,6,5,0,0,7,0,0,0,Home list Settings search share 
19,31,4,7,0,0,0,0,0,0,Home Settings search 
0,10,1,2,6,0,0,0,0,0,Home list Settings About notifications search 
2,19,2,6,9,0,0,0,0,0,Home list Settings About search 
0,9,1,2,6,0,0,0,0,0,Home list Settings About search sales 
6,16,1,3,6,0,0,0,0,0,Home list Settings About search 
21,36,7,3,2,0,0,1,0,1,Home list Profile search categories 
10,20,1,4,4,0,0,0,0,0,Home list Profile Settings Help logout messages chat search cart feedback 
4,5,0,1,0,0,0,0,0,0,list Profile search 
3,4,0,1,0,0,0,0,0,0,list Profile Help search feedback share 
3,5,0,1,0,0,0,0,0,0,list Profile search 
0,3,0,3,0,0,0,0,0,0,Home chat search 
14,35,2,6,10,0,0,0,0,0,list Settings share 
5,18,1,8,4,0,0,0,0,0,list Settings About chat share 
5,17,1,7,2,0,0,0,0,0,list Settings share 
6,21,1,6,8,0,0,0,0,0,list Settings About notifications chat share 
18,50,7,12,13,0,0,0,0,0,list Settings search share 
0,18,1,5,10,1,0,0,0,0,Home list Settings search categories 
11,14,2,1,0,0,0,0,0,0,Home Profile Settings Help logout messages search payment feedback 
12,16,0,3,0,0,0,0,0,0,list Settings search categories 
7,10,1,2,0,0,0,0,0,0,Home list Profile Settings search feedback share 
7,10,1,2,0,0,0,0,0,0,Home list Profile search feedback 
7,10,1,2,0,0,0,0,0,0,Home list Profile search feedback 
7,10,1,2,0,0,0,0,0,0,Home list Profile search feedback 
8,11,1,2,0,0,0,0,0,0,Home list Profile Settings search feedback share 
9,13,0,3,0,0,0,1,0,0,list Help Contact messages search cart feedback 
9,13,0,4,0,0,0,0,0,0,list Help Contact messages search categories sales cart feedback 
7,10,0,3,0,0,0,0,0,0,list Help Contact messages search sales cart feedback 
11,13,1,1,0,0,0,0,0,0,Home list Profile Settings Help logout messages search feedback 
6,12,0,2,4,0,0,0,0,0,list Settings Help Contact logout 
0,4,0,1,0,0,0,0,0,0,Home list search categories 
3,10,3,1,0,0,1,0,0,1,Home list logout search 
0,13,0,1,9,0,0,0,0,0,list Profile Settings notifications search cart 
1,19,0,5,10,0,0,0,0,0,list Profile Settings notifications search cart 
11,15,1,3,0,1,0,0,0,0,Home list Profile Settings Help logout messages search feedback 
10,15,1,3,0,0,0,0,0,0,Home list Profile Settings Help logout messages search feedback 
10,15,1,3,0,0,0,0,0,0,Home list Profile Settings Help logout messages search feedback 
5,7,0,2,0,0,0,0,0,0,Home list Profile Settings Contact About logout chat search feedback 
3,9,0,3,0,1,0,0,0,0,Home list About logout 
0,23,0,5,17,0,0,0,0,0,Home list Settings Help feedback 
3,5,1,1,0,0,0,0,0,0,Home Settings Contact About share 
0,8,0,0,5,0,0,0,0,0,list 
